smiles,uM_value,pchembl_value
CCc1c(O)cc(=O)n(-c2ccccc2)c1-c1ccccc1,23.51,4.63
Cc1cccc(NC(=O)CSc2nc(O)c(C#N)c(-c3ccccc3)n2)c1C,5.37,5.27
COc1ccc(CNc2nc3nc(-c4ccccc4)cc(O)n3n2)cc1OC,24.18,4.62
CC(C)(C)c1cc(CCC(=O)NNC(=S)NC(=O)c2ccccc2)cc(C(C)(C)C)c1O,32.23,4.49
CCOC(=O)c1cccc(NC(=O)CN2C(=O)C3C4C=CC(C4)C3C2=O)c1,14.16,4.85
O=C(CN1C(=O)C2CC=CCC2C1=O)NCC1COc2ccccc2O1,8.66,5.06
Cc1cccc(Nc2[nH]cnc3ncnc2-3)c1,71.38,4.15
Cc1cccc(NC(=O)CN2NS(=O)(=O)c3ccccc3C2=O)c1,7.74,5.11
O=C(CN1C(=O)c2ccccc2S1(=O)=O)NCCSCc1ccco1,16.19,4.79
CCOC(=O)CSC(C)C(=O)Nc1nnc(C(C)C)s1,37.69,4.42
CCOc1ccc(NC(=O)CSc2n[nH]c(N)n2)c([N+](=O)[O-])c1,12.68,4.9
C=CCn1c(CNC(=O)c2ccco2)nnc1SCC(=O)Nc1cccc(Br)c1,90.05,4.05
N#C/C(=C/c1cn(CC(=O)O)c2ccccc12)c1ccc(F)cc1,21.24,4.67
Cc1cc(O)nc(SCC(=O)Nc2cccc3ccccc23)c1C#N,2.2,5.66
CC(Sc1ccc2c(c1)OCCO2)C(=O)Nc1ncc(Cl)cc1Cl,3.8,5.42
CCOC(=O)c1oc2c(O)c(O)ccc2c(=O)c1-c1nncn1-c1ccccc1,6.58,5.18
O=C(CN1C(=O)c2ccccc2S1(=O)=O)NC1CC2CCC1C2,75.42,4.12
O=C(O)C1CCCCC1C(=O)Nc1cccc(Cl)c1Cl,13.52,4.87
CCC1(C)Cc2sc3c(O)nc(S)nc3c2CO1,29.31,4.53
CCn1c(SCC(=O)c2ccc(O)c(O)c2)nnc1-c1ccc(C)cc1,17.9,4.75
Cc1cc(NS(=O)(=O)c2ccc(NC(=O)c3cnc4scc(C)n4c3=O)cc2)nc(C)n1,23.06,4.64
O=C(Nc1nncs1)c1ccccc1Br,16.04,4.79
Sc1n[nH]c(-c2cccc(Cl)c2)n1,3.56,5.45
O=C(CSc1nnc(-c2ccc(NS(=O)(=O)c3ccccc3)cc2)o1)NCC1CCCO1,6.04,5.22
COc1ccc(OCCCn2cccc2/C=C2/C(=N)N3OC(C)=CC3=NC2=O)cc1,10.86,4.96
O=C(CSc1nc(O)c2c(n1)CCN(Cc1ccc(F)cc1)C2)Nc1ccc(F)cc1,7.8,5.11
COc1cccc2c(=O)n(CC(=O)N3CCCCCC3)ccc12,17.63,4.75
Cc1ccc(-c2nn(CCC(=O)O)cc2/C=C\C(=O)c2ccc(Br)cc2)cc1,33.99,4.47
CN(C)c1ccc(C=C2C(=O)NC(=S)NC2=O)cc1[N+](=O)[O-],76.6,4.12
COc1cccc2c(=O)n(CC(=O)N3CCC(C)CC3)ccc12,42.5,4.37
Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1.[Na+],12.08,4.92
O=C(CSc1nc[nH]n1)Nc1nnc(-c2ccccc2)s1,43.09,4.37
Cc1cc(/C=C2\C(=O)NC(=O)N(Cc3ccccc3)C2=O)c(C)n1-c1ccc(Cl)c(C(=O)O)c1,72.65,4.14
N#Cc1c(NC(=O)C2C3C=CC(C3)C2C(=O)O)sc2c1CCCCC2,1.39,5.86
O=C(Nc1c(C(=O)O)oc2ccc(Br)cc12)c1ccccc1,5.42,5.27
COc1ccc(-c2cc(O)[nH]n2)cc1,2.97,5.53
CCOC(=O)c1c(NC(=O)C2C3CCC(O3)C2C(=O)O)sc(C)c1-c1ccc(F)cc1,8.78,5.06
Cc1cc(N2CCCCC2)ccc1C=C1C(=O)N(C)C(=S)N(C)C1=O,40.87,4.39
