mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings,SHAP_mw,SHAP_fsp3,SHAP_n_lipinski_hba,SHAP_n_lipinski_hbd,SHAP_n_rings,SHAP_n_hetero_atoms,SHAP_n_heavy_atoms,SHAP_n_rotatable_bonds,SHAP_tpsa,SHAP_qed,SHAP_clogp,SHAP_sas,SHAP_n_aliphatic_carbocycles,SHAP_n_aliphatic_heterocyles,SHAP_n_aliphatic_rings,SHAP_n_aromatic_carbocycles,SHAP_n_aromatic_heterocyles,SHAP_n_aromatic_rings,SHAP_n_saturated_carbocycles,SHAP_n_saturated_heterocyles,SHAP_n_saturated_rings
547,0,8,2,4,9,39,14,102,0,5,2,0,0,0,2,2,4,0,0,0,0.18357453,-0.0067647686,0.0035586285,0.04196509,0.0024296339,-0.020507483,0.22655965,0.23735462,-0.39040872,0.0,0.2552648,-0.044617437,0.0005882628,0.07681285,0.007853344,0.058527365,0.056838904,0.065973006,-0.020003885,0.012967176,-0.037106134
295,0,5,1,4,5,22,1,60,0,2,2,0,1,1,2,1,3,0,0,0,-0.07595261,-0.008498392,-0.048350573,-0.07573199,0.050662488,-0.11365129,-0.20860434,0.18249784,0.21301255,0.0,-0.22411151,0.0002503724,-0.0009535635,-0.040618826,-0.021924838,0.056651536,0.02383343,0.009837768,-0.019459851,0.0067656953,-0.04929032
393,0,9,2,4,9,29,4,127,0,2,2,0,0,0,2,2,4,0,0,0,-0.018632315,-0.0078027016,0.03817483,-0.009650367,-0.015407657,0.015969455,-0.016804501,0.009554821,-0.3576175,0.0,-0.2762135,-0.040495306,-0.009556094,0.05801942,0.017777044,0.019622227,0.024417117,0.02862744,-0.024766063,0.010622836,-0.045850556
323,0,5,1,3,5,24,4,68,0,3,2,0,0,0,2,1,3,0,0,0,0.4382919,-0.007030999,0.015748996,0.028610006,0.0925556,0.16481705,0.10308388,0.09545668,0.39269596,0.0,-0.0124855945,-0.021701477,0.010415744,0.05457188,0.066478394,0.16720179,0.015512424,0.07197877,-0.0066520963,0.0026725938,-0.051341735
327,0,4,3,3,5,23,5,57,0,4,2,0,0,0,2,1,3,0,0,0,0.15388677,-0.0064709433,0.085046805,0.56084734,0.0658858,0.1449045,-0.030363975,-0.04146841,0.84595656,0.0,0.22454114,0.020615349,0.03820326,0.04596079,0.069322586,0.039641097,0.034747522,0.05691791,0.0024597268,0.010713612,-0.027785344
574,0,4,2,6,6,40,9,49,0,9,3,2,0,2,2,2,4,0,0,0,0.23103127,-0.0068181683,-0.04817889,0.10580121,-0.059154026,0.05149203,0.2266336,0.30031475,0.3048214,0.0,0.43080056,-0.03611777,-0.024102628,0.060942706,-0.01923272,0.075250104,0.056697726,0.07056306,-0.009517942,0.0063443887,-0.037687827
264,0,6,2,2,7,18,5,79,0,1,2,0,0,0,1,1,2,0,0,0,-0.3787051,-0.008197903,-0.0029824995,-0.016275493,-0.06943423,-0.020483173,-0.16576847,-0.2908281,-0.15239172,0.0,-0.059197444,-0.026689038,-0.0039924677,0.02009062,-0.0053935223,0.020075541,-0.009681183,-0.03475529,-0.0109164985,-0.0018736449,-0.03501183
393,0,6,1,3,9,28,5,77,0,4,2,0,0,0,2,1,3,0,0,0,0.26583475,-0.0069597075,-0.05477215,0.017934082,0.12943766,0.1564879,0.14607868,0.052882753,0.41893506,0.0,0.26129055,-0.032351404,0.006050581,0.07219113,0.06807424,0.11278618,0.02516645,0.049365517,-0.010747016,0.027623745,-0.035989832
270,0,6,2,2,6,20,4,99,0,3,2,0,0,0,2,0,2,0,0,0,-0.36615938,-0.008486832,-0.080279835,-0.050638292,-0.0154242385,-0.113375224,-0.13920118,-0.09187871,-0.30085668,0.0,-0.18357296,-0.032272752,-0.013521717,0.033067346,7.466285e-05,-0.0051998184,0.0019911174,-0.009398054,-0.013009984,0.001077011,-0.037321508
352,0,6,3,2,7,24,4,95,0,2,2,1,0,1,0,1,1,0,0,0,-0.052434348,-0.0081915185,-0.07863481,0.16768841,-0.045104947,-0.009469259,-0.058457233,-0.072086945,-0.30949986,0.0,-0.21373439,-0.045710936,0.025545763,0.034184713,-0.049765777,-0.03771641,-0.018530227,0.080852546,-0.024342792,0.004668979,-0.04653614
