canonical_smiles,uM_value
Cc1ccc(Cl)cc1N=C(S)Nn1cnnc1,2.064
CC1=C([N+](=O)[O-])C(c2ccc(O)c(O)c2)NC(=O)N1,0.86354
CCOC(=O)NC(=O)COC(=O)c1ccc(Sc2nc[nH]n2)c([N+](=O)[O-])c1,0.60909
O=C1Nc2ccccc2/C1=C1/SC(=S)N(NC(=O)c2cccc(O)c2)C1=O,39.469
Cc1scc(C(=O)Nn2cnnc2)c1-c1ccccc1,3.127
Cc1c(Cl)cccc1NC(=O)Nn1cnnc1,1.865
Cc1cc(C)cc(C(=O)n2cnnc2N)c1,2.888
CCOC(=O)NC1(Nc2ccc(C)cc2)Oc2ccccc2O1,5.068
Oc1ccc(-c2cn3c(n2)SCC3)cc1O,1.55
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,2.242
O=C(/C=C/c1ccc(O)c(O)c1)OC1C(O)CC(OC(=O)/C=C/c2ccc(O)c(O)c2)(C(=O)O)CC1O,1.945
Oc1ccc(/C=N/N=C/c2ccc(O)c(O)c2)cc1O,1.75
COc1ccc2nc(C)cc(SCC(=O)N/N=C/c3ccc(O)c(O)c3)c2c1,2.476
O=C(COc1ccccc1C(=O)N/N=C\c1ccc(O)c(O)c1)N/N=C/c1ccc(O)c(O)c1,1.501
COc1cccc2c(SCC(=O)N/N=C/c3ccc(O)c(O)c3)cc(C)nc12,2.013
O=C(N/N=C/c1ccc(O)c(O)c1)N/N=C/c1ccc(O)c(O)c1,2.787
Cc1cc(O)nc(SCC(=O)c2ccc(O)c(O)c2)n1,1.486
O=C(CSc1nc(O)c2ccccc2n1)c1ccc(O)c(O)c1,1.457
CC(C)(C)c1ccc(O)c(/N=C/c2cc(Br)ccc2O)c1,0.80657
BrC(=C\c1ccccc1)/C=N/n1cnnc1,1.893
N/C(=N\N=C\c1ccc(O)cc1O)N[N+](=O)[O-],4.613
Oc1ccc(/C=N/n2cncn2)cc1O,1.011
COc1cc(Br)cc(/C=N/c2nc[nH]n2)c1O,2.346
O=C(O)c1ccc(O)c(O)c1,0.4794
O=CN/C=C/c1cc(O)ccc1O,3.719
Cc1nc(-c2ccc(O)c(O)c2)cs1,1.302
Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,1.376
CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,3.669
O=C(O)c1ccccc1-c1ccccc1C(=O)Nc1ccc2c(c1)nc(O)c1ccccc12,38.82
CN(C)c1ccc(/C=C/c2ccc3ccccc3[n+]2C)cc1.[I-],88.45
O=C(O)c1nn(Cc2ccc(Cl)cc2Cl)c2ccccc12,7.37
O=C(COc1ccc2ccccc2c1)Nc1cccc(C(=O)Nc2ccccc2C(=O)O)c1,8.71
Cc1cc(C(=O)COC(=O)c2cccnc2O)c(C)n1-c1ccccc1,2.67
Cc1ccccc1NC(=O)CSc1nc(O)cc(C)c1C#N,10.9
O=C(O)Cn1nnnc1SCC(=O)Nc1ccc(OC(F)(F)F)cc1,5.22
Cc1ccc(-n2c(C)cc(C(=O)COC(=O)c3cccnc3O)c2C)cc1,1.22
O=C(CSc1ncccc1C(=O)O)NCc1ccc(F)cc1,42.66
CC(C)C(=O)Nc1nnc(SCC(=O)Nc2ccc3c(c2)OCCO3)s1,18.87
O=C(NC(=S)NNC(=O)c1ccc(Cl)cc1Cl)c1cccnc1,49.57
COC(=O)c1ccc(NC(=O)C2CCCCC2C(=O)O)cc1,13.48
Clc1cc(Cl)cc(Nc2nc[nH]n2)c1,23.3
Cc1ccc(NC(=O)Cn2nc(C)c3ccccc3c2=O)cc1F,14.02
Cc1cc(C(=O)COC(=O)c2cccnc2O)c(C)n1C1CC1,13.31
O=C(NC(=S)NNS(=O)(=O)c1ccccc1)c1ccccc1[N+](=O)[O-],29.88
N#C/C(=C\c1ccc(O)c(O)c1)S(=O)(=O)c1ccccc1,7.23
COC(=O)c1ccccc1NC(=O)CN1C(=O)c2ccccc2S1(=O)=O,18.06
CCCc1cc(O)nc(SCC(=O)N(C)CC(=O)Nc2ccc(C)cc2)n1,9.77
Cc1ccc(-n2c(C)cc(C(=O)COC(=O)c3cccnc3O)c2C)cc1C,1.45
Cc1c(Cl)cccc1NC(=O)CSCc1cc(O)[nH]n1,62.28
CC(=O)/C(C#N)=C1\NC(=O)C(Cc2ccccc2Cl)S1,26.6
CCOC(=O)c1c(-c2cccs2)csc1NC(=O)CCCC(=O)O,20.26
CC(C)Oc1ccc(C(CC(=O)O)NC(=O)CSc2nc[nH]n2)cc1,47.35
C=CCN1C=CC(=CC=C(C#N)C#N)C=C1,72.21
Cc1ccc(N(CC(N)=O)C2SC(=O)N(Cc3cccc(C(=O)O)c3)C2=O)cc1,40.71
CC(C)CC(=O)n1sc(NC(=O)c2ccccc2)nc1=O,43.94
O=C(NCc1ccccc1)c1ccc2c(=O)[nH]c3c(C(=O)NCC4CCCO4)sc(=S)n3c2c1,8.61
O=C(CN1C(=O)c2ccccc2C1=O)Nc1ccc2c(c1)OCO2,9.43
Cc1ccc(-n2c(SCC(=O)N3Cc4ccccc4CC3C(=O)O)nnc2-c2cccnc2)c(C)c1,3.12
COc1ccc(C2CC(=O)c3sc(N)nc3C2)cc1,30.14
CCN(CC)c1ccc(NC(=O)CSc2nc(C)cc(O)n2)cc1,3.06
Cc1ccc(C)c(N2C(=N)S/C(=C\c3ccc(-c4ccccc4C(=O)O)o3)C2=O)c1,32.62
CCn1c(SCC(=O)c2ccc(O)c(O)c2)nnc1-c1ccccc1OC,24.43
Cc1ccc(Nc2nnc(SC3CCOC3=O)s2)cc1,1.94
Cc1ccc(NC(=O)CN2C(=O)N/C(=C/c3ccco3)C2=O)cc1,37.8
CC1=C(C)CC(C(=O)Nc2nc(-c3ccc(C)cc3C)c(C)s2)C(C(=O)O)C1,3.71
O=C(O)COc1ccccc1/C=C1\SC(=O)N(Cc2ccc(F)cc2)C1=O,34.83
O=C(CSc1nc[nH]n1)Nc1ccc(Br)cc1F,29.8
COc1cccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccc(C(=O)O)cc2)N3)c1,15.77
COc1ccc(NC(=O)CSc2nccc(C)n2)cc1,20.33
O=C(O)C1CC=CCC1C(=O)Nc1ccc2c(c1)OCCO2,13.41
CN1CCS/C1=C\C=C1/SC(=S)N(CC(=O)O)C1=O,52.26
COc1ccc(NC(=O)CSc2nnc(NC(=O)c3ccccc3C(=O)O)s2)cc1,6.27
O=C(CSc1nc(O)cc(=O)n1-c1ccccc1)Nc1ccc2c3c(cccc13)CC2,1.45
O=C(CSc1nc[nH]n1)Nc1cccc2ccccc12,29.15
N#Cc1c(O)nc(S)nc1-c1ccccc1,15.66
CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(OC)cc3)cc2)CC1,25.05
O=C(O)Cc1ccc(NC(=O)Nc2cccc(Cl)c2)cc1,1.7
O=C1/C(=C/c2cccs2)NC(=S)N1C1CC1,6.44
CC1=C(C#N)C(=O)NC(=O)/C1=C\c1ccc(-c2ccc(C)cc2[N+](=O)[O-])o1,13.06
COc1ccc(CC(CC(=O)O)C(=O)Nc2ccc(OC)cc2)cc1,8.96
C=CCn1c(SCC(=O)c2ccc(O)c(O)c2)nnc1-c1ccccc1OC,22.84
CC1=C(C)CC(C(=O)Nc2cccc([N+](=O)[O-])c2)C(C(=O)O)C1,6.42
CC(C)[C@H](Nc1nc(-c2ccccc2)nc2c1oc1ccccc12)C(=O)O.Cl,25.18
O=C(O)c1cccc(C(=O)Cc2ccccc2)c1,17.51
Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)Cn4nc(C(F)F)c(Cl)c4C)C3SC2)s1,13.92
Cc1ccc(S(=O)(=O)NC(=O)CSc2nc3ccccc3s2)cc1,7.77
CCCCCCSc1nc(O)c(C2OC(=O)c3c2ccc(OC)c3OC)c(=O)n1-c1ccccc1,4.82
O=C(CSc1nc(O)cc(-c2ccccc2)n1)Nc1ccccn1,8.69
CSc1nc2nc(-c3ccccc3)cc(O)n2n1,28.58
O=C(Cc1cccs1)NNC(=S)NC(=O)c1ccccc1,30.0
Cc1onc(-c2ccccc2)c1C(=O)NNC(=S)NC(=O)c1ccc(F)cc1,79.36
O=C(O)C1CCCCC1C(=O)Nc1cc(C(F)(F)F)ccc1Cl,17.53
Oc1ccc(-c2n[nH]c(S)n2)cc1,20.55
O=C(O)CCCNC(=O)/C(=C\C=C\c1ccccc1)NC(=O)c1ccccc1Cl,86.81
CCOC(=O)CSc1nnc(-c2ccco2)n1-c1ccc(C)cc1,36.98
CCCCCOc1ccc(NC(=O)CCCC(=O)O)cc1,11.3
Cc1ccc(C(=O)Nc2nc(=O)n(C(=O)C3CC3)s2)cc1,19.31
COC(=O)c1cccc(NC(=O)CSc2nc(C)cc(O)n2)c1,7.51
COc1ccc(NC(=O)CSC2=NC(=O)CC(C)=N2)cc1,3.09
CCCCc1ccc(NC(=O)N[C@H](C(=O)O)C(C)C)cc1,7.04
Cc1cccc(Nc2nnc(S)s2)c1C,9.62
COc1ccc(-c2n[nH]c(S)n2)cc1,39.47
Cc1ccc(Nc2nnc(SCC(=O)c3cc4ccccc4o3)s2)cc1C,19.77
CCn1c(SCC(=O)c2ccc(O)c(O)c2)nnc1-c1ccccc1,13.34
Sc1n[nH]c(-c2cccc(Br)c2)n1,2.22
Cc1noc(NS(=O)(=O)c2ccc(NC(=O)CSc3n[nH]c4c5ccccc5nc-4n3)cc2)c1C,2.57
COC(=O)c1c(-c2ccc(C)cc2)csc1NC(=O)C1CC=CCC1C(=O)O,1.2
COc1ccc(NC(=O)CC(Cc2ccccc2)C(=O)O)cc1,18.69
Cc1ccc(NC(S)=NNc2ccc([N+](=O)[O-])cc2S(=O)(=O)Nc2ccccc2C(=O)O)cc1C,5.16
CCc1nnc(NS(=O)(=O)c2ccc(NC(=O)COc3ccc4ccccc4c3)cc2)s1,5.1
CCOc1ccc(NC(=O)COC(=O)c2cccnc2)cc1,27.39
O=C(O)CCN1C(=O)CC(N2C(=O)/C(=C/c3ccc(Cl)cc3)SC2=S)C1=O,22.46
O=C(O)CN1C(=O)/C(=C\c2cn(CC(=O)N3CCOCC3)c3ccccc23)SC1=S,13.13
O=C(O)C12CC3CC(C1)CC(n1ncc(NCc4ccccc4)c(Cl)c1=O)(C3)C2,90.0
CCc1ccc(C(=O)CSc2n[nH]c(C)n2)cc1,63.38
O=C(CSc1nc[nH]n1)Nc1ccc2c(c1)CCC2,22.25
NC(=O)c1c(NC(=O)C2CCCO2)sc2c1CCCCC2,58.7
O=C(Nc1ccc(C(=O)O)cc1)Nc1cccc([N+](=O)[O-])c1,16.05
Nc1nc2c(s1)C(=O)CC(c1ccccc1)C2,58.76
Cc1ccc(C(=O)Nc2nc(=O)n(C(=O)c3ccccc3Cl)s2)cc1,13.81
O=C(O)CCCc1sccc1N=Nc1c(O)ccc2ccccc12,20.03
CCCn1c(C)cc(C(=O)COC(=O)c2cccnc2O)c1C,15.33
O=C(CSc1nccc(O)n1)Nc1ccc(Br)c(Cl)c1,2.5
O=C(O)Cn1cc(/C=C2/NC(=O)N(c3ccc(Cl)cc3)C2=O)c2ccccc21,11.87
Oc1cc(-c2ccc(F)cc2)[nH]n1,1.13
CC(=O)Nc1c(O)nc(SCC(=O)Nc2sc3c(c2C#N)CCCCCC3)nc1O,27.95
O=C(COc1ccccc1)NNC(=S)NC(=O)c1ccccc1,9.22
CCOC(=O)c1c(NC(=O)C2C3C=CC(C3)C2C(=O)O)sc2c1CCC(C)C2,15.7
COc1cccc(Nc2nnc(S)s2)c1,6.54
CCOc1ccc(Cc2nnc(S)s2)cc1,12.64
CCOc1ccc(NC(=O)C2CC=CCC2C(=O)O)cc1,10.45
CCc1c(O)cc(=O)n(-c2ccccc2)c1-c1ccccc1,23.51
Cc1cccc(NC(=O)CSc2nc(O)c(C#N)c(-c3ccccc3)n2)c1C,5.37
COc1ccc(CNc2nc3nc(-c4ccccc4)cc(O)n3n2)cc1OC,24.18
CC(C)(C)c1cc(CCC(=O)NNC(=S)NC(=O)c2ccccc2)cc(C(C)(C)C)c1O,32.23
CCOC(=O)c1cccc(NC(=O)CN2C(=O)C3C4C=CC(C4)C3C2=O)c1,14.16
O=C(CN1C(=O)C2CC=CCC2C1=O)NCC1COc2ccccc2O1,8.66
Cc1cccc(Nc2[nH]cnc3ncnc2-3)c1,71.38
Cc1cccc(NC(=O)CN2NS(=O)(=O)c3ccccc3C2=O)c1,7.74
O=C(CN1C(=O)c2ccccc2S1(=O)=O)NCCSCc1ccco1,16.19
CCOC(=O)CSC(C)C(=O)Nc1nnc(C(C)C)s1,37.69
CCOc1ccc(NC(=O)CSc2n[nH]c(N)n2)c([N+](=O)[O-])c1,12.68
C=CCn1c(CNC(=O)c2ccco2)nnc1SCC(=O)Nc1cccc(Br)c1,90.05
N#C/C(=C/c1cn(CC(=O)O)c2ccccc12)c1ccc(F)cc1,21.24
Cc1cc(O)nc(SCC(=O)Nc2cccc3ccccc23)c1C#N,2.2
CC(Sc1ccc2c(c1)OCCO2)C(=O)Nc1ncc(Cl)cc1Cl,3.8
CCOC(=O)c1oc2c(O)c(O)ccc2c(=O)c1-c1nncn1-c1ccccc1,6.58
O=C(CN1C(=O)c2ccccc2S1(=O)=O)NC1CC2CCC1C2,75.42
O=C(O)C1CCCCC1C(=O)Nc1cccc(Cl)c1Cl,13.52
CCC1(C)Cc2sc3c(O)nc(S)nc3c2CO1,29.31
CCn1c(SCC(=O)c2ccc(O)c(O)c2)nnc1-c1ccc(C)cc1,17.9
Cc1cc(NS(=O)(=O)c2ccc(NC(=O)c3cnc4scc(C)n4c3=O)cc2)nc(C)n1,23.06
O=C(Nc1nncs1)c1ccccc1Br,16.04
Sc1n[nH]c(-c2cccc(Cl)c2)n1,3.56
O=C(CSc1nnc(-c2ccc(NS(=O)(=O)c3ccccc3)cc2)o1)NCC1CCCO1,6.04
COc1ccc(OCCCn2cccc2/C=C2/C(=N)N3OC(C)=CC3=NC2=O)cc1,10.86
O=C(CSc1nc(O)c2c(n1)CCN(Cc1ccc(F)cc1)C2)Nc1ccc(F)cc1,7.8
COc1cccc2c(=O)n(CC(=O)N3CCCCCC3)ccc12,17.63
Cc1ccc(-c2nn(CCC(=O)O)cc2/C=C\C(=O)c2ccc(Br)cc2)cc1,33.99
CN(C)c1ccc(C=C2C(=O)NC(=S)NC2=O)cc1[N+](=O)[O-],76.6
COc1cccc2c(=O)n(CC(=O)N3CCC(C)CC3)ccc12,42.5
Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1.[Na+],12.08
O=C(CSc1nc[nH]n1)Nc1nnc(-c2ccccc2)s1,43.09
Cc1cc(/C=C2\C(=O)NC(=O)N(Cc3ccccc3)C2=O)c(C)n1-c1ccc(Cl)c(C(=O)O)c1,72.65
N#Cc1c(NC(=O)C2C3C=CC(C3)C2C(=O)O)sc2c1CCCCC2,1.39
O=C(Nc1c(C(=O)O)oc2ccc(Br)cc12)c1ccccc1,5.42
COc1ccc(-c2cc(O)[nH]n2)cc1,2.97
CCOC(=O)c1c(NC(=O)C2C3CCC(O3)C2C(=O)O)sc(C)c1-c1ccc(F)cc1,8.78
Cc1cc(N2CCCCC2)ccc1C=C1C(=O)N(C)C(=S)N(C)C1=O,40.87
Cc1cccc(NC(=O)CSc2nc(O)c3c[nH]nc3n2)c1C,4.46
Cc1cc(S(=O)(=O)Nc2cccc(O)c2)c(C)s1,14.56
c1nc(NCc2ccc3c(c2)OCO3)n[nH]1,17.94
Cc1sc(NC(=O)C2CCCCC2C(=O)O)c(C(N)=O)c1-c1ccccc1,10.95
CCCCc1ccc(NC(=O)N[C@H](C(=O)O)C(C)CC)cc1,6.31
O=C(O)CCN1C(=O)/C(=C/c2cn(-c3ccccc3)nc2-c2cccs2)SC1=S,3.05
O=C(CSc1nc(O)cc(O)n1)Nc1ccc2c(c1)CCC2,2.01
